Date,Close/Last,Open,High,Low
02/09/2024,15990.66,15842.38,16007.29,15831.76
02/08/2024,15793.71,15762.23,15813.27,15739.18
02/07/2024,15756.64,15690.35,15770.68,15645.81
02/06/2024,15609.00,15638.19,15652.75,15515.25
02/05/2024,15597.68,15613.99,15637.88,15471.68
02/02/2024,15628.95,15403.16,15664.21,15366.78
02/01/2024,15361.64,15254.02,15372.13,15208.88
01/31/2024,15164.01,15324.19,15405.55,15158.49
01/30/2024,15509.90,15628.04,15619.23,15484.67
01/29/2024,15628.04,15470.66,15630.58,15449.87
01/26/2024,15455.36,15474.85,15538.84,15433.04
01/25/2024,15510.50,15555.62,15597.25,15430.68
01/24/2024,15481.92,15560.61,15629.07,15468.91
01/23/2024,15425.94,15391.41,15432.35,15337.23
01/22/2024,15360.29,15393.05,15438.85,15333.63
01/19/2024,15310.97,15122.38,15310.97,15087.20
01/18/2024,15055.65,14994.52,15066.81,14911.11
01/17/2024,14855.62,14814.77,14865.76,14706.23
01/16/2024,14944.35,14908.26,15004.35,14863.81
01/12/2024,14972.76,15001.01,15047.25,14931.88
01/11/2024,14970.18,15020.95,15063.61,14800.38
